ID	Entrez_Gene_ID	SeqId	SomaId	Target_Name	Target_Full_Name	UniProt_ID	Type	Organism	Entrez_Gene_Name	Ensembl_Gene_ID	HGNC_ID	feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	TSS	gene_start	gene_end	strand	name	symbol	feature_interval_length	attributes	gene_protein_coding	multi_mappers	manual_curation	database
16561-9_Entrez-ID_1	1	16561-9	SL005720	Alpha-1B-glycoprotein	Alpha-1B-glycoprotein	P04217	Protein	Human	A1BG	ENSG00000121410	HGNC:5	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	19	NC_000019.9	58864858	58856549	58864858	-	alpha-1-B glycoprotein	A1BG	8309		yes	no	no	NCBI
19751-21_Entrez-ID_100	100	19751-21	SL009196	ADA	Adenosine deaminase	P00813	Protein	Human	ADA	ENSG00000196839	HGNC:186	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	20	NC_000020.10	43280340	43248163	43280340	-	adenosine deaminase	ADA	32177		yes	no	no	NCBI
3797-1_Entrez-ID_1000	1000	3797-1	SL000638	Cadherin-2	Cadherin-2	P19022	Protein	Human	CDH2	ENSG00000170558	HGNC:1759	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	18	NC_000018.9	25757094	25530930	25757094	-	cadherin 2	CDH2	226164		yes	no	no	NCBI
20068-61_Entrez-ID_100008586	100008586	20068-61	SL020989	GG12F	G antigen 12F	P0CL80	Protein	Human	GAGE12F	ENSG00000236362	HGNC:31906	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	49325445	49325445	49332808	+	G antigen 12F	GAGE12F	7363		yes	yes	no	NCBI
17505-125_Entrez-ID_10004	10004	17505-125	SL019672	NALDL	N-acetylated-alpha-linked acidic dipeptidase-like protein	Q9UQQ1	Protein	Human	NAALADL1	ENSG00000168060	HGNC:23536	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	64826025	64812290	64826025	-	N-acetylated alpha-linked acidic dipeptidase like 1	NAALADL1	13735		yes	no	no	NCBI
8248-222_Entrez-ID_100049587	100049587	8248-222	SL014292	SIG14	Sialic acid-binding Ig-like lectin 14	Q08ET2	Protein	Human	SIGLEC14	ENSG00000254415	HGNC:32926	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	19	NC_000019.9	52150078	52142731	52150078	-	sialic acid binding Ig like lectin 14	SIGLEC14	7347		yes	no	no	NCBI
22577-24_Entrez-ID_100049587	100049587	22577-24	SL014292	SIG14	Sialic acid-binding Ig-like lectin 14	Q08ET2	Protein	Human	SIGLEC14	ENSG00000254415	HGNC:32926	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	19	NC_000019.9	52150078	52142731	52150078	-	sialic acid binding Ig like lectin 14	SIGLEC14	7347		yes	no	no	NCBI
5125-6_Entrez-ID_100049587	100049587	5125-6	SL014292	SIG14	Sialic acid-binding Ig-like lectin 14	Q08ET2	Protein	Human	SIGLEC14	ENSG00000254415	HGNC:32926	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	19	NC_000019.9	52150078	52142731	52150078	-	sialic acid binding Ig like lectin 14	SIGLEC14	7347		yes	no	no	NCBI
17400-71_Entrez-ID_10005	10005	17400-71	SL019729	ACOT8	Acyl-coenzyme A thioesterase 8	O14734	Protein	Human	ACOT8	ENSG00000101473	HGNC:15919	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	20	NC_000020.10	44486031	44470360	44486031	-	acyl-CoA thioesterase 8	ACOT8	15671		yes	no	no	NCBI
8909-77_Entrez-ID_10007	10007	8909-77	SL018714	GNPI1	Glucosamine-6-phosphate isomerase 1	P46926	Protein	Human	GNPDA1	ENSG00000113552	HGNC:4417	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	141392592	141380236	141392592	-	glucosamine-6-phosphate deaminase 1	GNPDA1	12356		yes	no	no	NCBI
